iter	Passed	Remaining
0	2	2541
1	5	2558
2	7	2510
3	9	2467
4	12	2550
5	15	2517
6	17	2471
7	20	2555
8	23	2567
9	25	2522
10	28	2563
11	31	2557
12	33	2546
13	36	2537
14	38	2525
15	41	2573
16	44	2577
17	46	2559
18	49	2558
19	51	2546
20	54	2530
21	56	2519
22	58	2495
23	60	2478
24	63	2471
25	65	2458
26	68	2455
27	70	2443
28	73	2456
29	75	2444
30	78	2461
31	81	2457
32	83	2446
33	86	2456
34	89	2469
35	92	2477
36	95	2477
37	98	2484
38	100	2479
39	102	2471
40	104	2454
41	107	2440
42	109	2442
43	112	2445
44	115	2445
45	118	2447
46	119	2432
47	122	2422
48	124	2417
49	126	2409
50	129	2402
51	131	2404
52	134	2399
53	136	2389
54	138	2379
55	140	2373
56	143	2367
57	145	2361
58	147	2344
59	149	2343
60	152	2341
61	156	2362
62	158	2358
63	161	2356
64	164	2359
65	166	2355
66	168	2350
67	170	2339
68	172	2327
69	175	2329
70	178	2340
71	181	2335
72	183	2328
73	186	2330
74	188	2330
75	191	2326
76	193	2324
77	196	2322
78	198	2317
79	201	2311
80	203	2309
81	205	2303
82	208	2300
83	210	2298
84	213	2297
85	215	2293
86	217	2285
87	220	2285
88	224	2298
89	228	2308
90	231	2309
91	233	2307
92	236	2301
93	238	2294
94	240	2289
95	243	2290
96	245	2284
97	247	2278
98	249	2274
99	252	2270
100	254	2263
101	256	2259
102	259	2257
103	261	2251
104	263	2247
105	266	2246
106	268	2240
107	270	2237
108	273	2235
109	276	2233
110	278	2230
111	280	2227
112	283	2224
113	286	2229
114	289	2230
115	292	2225
116	294	2224
117	297	2221
118	299	2216
119	301	2212
120	304	2210
121	307	2209
122	309	2207
123	312	2208
124	315	2205
125	317	2204
126	320	2202
127	323	2202
128	325	2201
129	328	2199
130	331	2200
131	334	2196
132	336	2193
133	339	2191
134	341	2189
135	344	2188
136	346	2185
137	349	2182
138	351	2178
139	353	2174
140	356	2171
141	359	2174
142	362	2171
143	365	2171
144	367	2168
145	370	2165
146	372	2163
147	375	2163
148	378	2164
149	382	2167
150	384	2164
151	387	2161
152	389	2158
153	392	2155
154	395	2153
155	397	2150
156	401	2153
157	403	2150
158	405	2146
159	408	2143
160	410	2140
161	413	2137
162	416	2136
163	419	2136
164	421	2133
165	424	2130
166	426	2127
167	429	2125
168	433	2129
169	435	2125
170	437	2120
171	440	2120
172	442	2116
173	444	2112
174	447	2110
175	450	2110
176	452	2105
177	455	2102
178	457	2100
179	460	2096
180	462	2093
181	465	2094
182	469	2095
183	472	2097
184	475	2095
185	478	2092
186	480	2089
187	483	2088
188	485	2085
189	488	2083
190	491	2080
191	493	2078
192	496	2075
193	498	2071
194	500	2066
195	503	2063
196	505	2060
197	508	2058
198	510	2056
199	513	2053
200	515	2051
201	519	2051
202	522	2051
203	525	2050
204	527	2045
205	530	2043
206	532	2038
207	534	2035
208	537	2034
209	540	2033
210	543	2032
211	546	2029
212	548	2026
213	550	2023
214	552	2018
215	555	2015
216	559	2019
217	562	2017
218	564	2013
219	566	2009
220	569	2006
221	571	2002
222	574	2000
223	576	1998
224	579	1995
225	582	1993
226	584	1989
227	586	1986
228	589	1983
229	591	1979
230	593	1976
231	596	1973
232	599	1971
233	601	1969
234	603	1965
235	606	1962
236	608	1960
237	611	1957
238	614	1955
239	615	1950
240	617	1945
241	620	1942
242	622	1940
243	626	1940
244	629	1939
245	631	1934
246	633	1931
247	636	1928
248	638	1926
249	640	1922
250	643	1919
251	645	1916
252	648	1913
253	649	1909
254	652	1905
255	654	1902
256	657	1900
257	660	1898
258	662	1896
259	665	1894
260	667	1890
261	669	1887
262	672	1884
263	674	1881
264	677	1878
265	679	1876
266	682	1873
267	685	1872
268	687	1869
269	690	1866
270	692	1863
271	694	1859
272	697	1857
273	700	1855
274	702	1852
275	705	1849
276	707	1846
277	710	1844
278	712	1840
279	715	1840
280	718	1837
281	721	1836
282	724	1836
283	727	1835
284	730	1832
285	732	1828
286	734	1824
287	736	1821
288	739	1818
289	741	1816
290	744	1814
291	747	1811
292	748	1807
293	750	1802
294	752	1798
295	754	1794
296	756	1791
297	759	1789
298	762	1788
299	765	1785
300	767	1782
301	770	1780
302	773	1778
303	775	1776
304	778	1773
305	780	1770
306	782	1767
307	785	1764
308	787	1761
309	790	1758
310	793	1757
311	796	1755
312	798	1752
313	801	1750
314	803	1747
315	806	1745
316	809	1743
317	811	1739
318	814	1738
319	816	1734
320	818	1731
321	821	1729
322	823	1725
323	826	1724
324	828	1721
325	831	1718
326	833	1715
327	835	1712
328	837	1709
329	840	1706
330	844	1706
331	846	1703
332	849	1700
333	851	1697
334	853	1694
335	856	1691
336	858	1688
337	861	1686
338	863	1683
339	866	1681
340	868	1678
341	870	1674
342	872	1671
343	874	1668
344	877	1665
345	879	1663
346	882	1660
347	884	1657
348	886	1654
349	889	1651
350	891	1648
351	894	1646
352	896	1643
353	899	1640
354	901	1638
355	904	1636
356	906	1632
357	908	1629
358	911	1627
359	913	1624
360	916	1622
361	919	1620
362	921	1617
363	924	1614
364	926	1612
365	930	1611
366	933	1609
367	935	1607
368	938	1604
369	940	1601
370	943	1598
371	945	1596
372	948	1594
373	951	1592
374	954	1590
375	956	1587
376	959	1584
377	960	1581
378	962	1577
379	965	1575
380	967	1571
381	969	1568
382	971	1564
383	973	1561
384	975	1558
385	978	1555
386	980	1553
387	982	1550
388	984	1546
389	986	1542
390	988	1539
391	990	1536
392	993	1534
393	995	1531
394	998	1528
395	1000	1525
396	1002	1523
397	1004	1520
398	1007	1517
399	1009	1514
400	1012	1512
401	1014	1509
402	1018	1508
403	1020	1505
404	1022	1502
405	1025	1499
406	1027	1497
407	1030	1495
408	1033	1493
409	1035	1490
410	1037	1487
411	1040	1484
412	1042	1481
413	1044	1478
414	1046	1474
415	1047	1470
416	1049	1467
417	1051	1464
418	1053	1461
419	1056	1458
420	1058	1456
421	1061	1453
422	1063	1451
423	1066	1448
424	1068	1445
425	1070	1442
426	1072	1439
427	1075	1436
428	1077	1434
429	1080	1431
430	1081	1428
431	1083	1424
432	1085	1421
433	1086	1417
434	1088	1413
435	1089	1409
436	1091	1406
437	1093	1402
438	1094	1398
439	1096	1395
440	1099	1393
441	1100	1389
442	1102	1386
443	1104	1383
444	1106	1380
445	1108	1377
446	1110	1373
447	1111	1369
448	1113	1366
449	1116	1364
450	1118	1361
451	1120	1358
452	1122	1355
453	1123	1351
454	1126	1348
455	1129	1346
456	1131	1344
457	1133	1341
458	1136	1339
459	1138	1336
460	1140	1333
461	1141	1329
462	1144	1327
463	1146	1323
464	1148	1321
465	1151	1319
466	1153	1316
467	1155	1313
468	1157	1310
469	1159	1307
470	1162	1305
471	1163	1301
472	1165	1299
473	1168	1296
474	1170	1293
475	1172	1290
476	1174	1287
477	1176	1284
478	1178	1281
479	1179	1277
480	1181	1274
481	1183	1272
482	1185	1268
483	1186	1265
484	1188	1262
485	1190	1259
486	1192	1256
487	1194	1253
488	1196	1250
489	1198	1247
490	1200	1244
491	1201	1240
492	1203	1237
493	1205	1234
494	1207	1231
495	1209	1229
496	1211	1226
497	1214	1223
498	1216	1220
499	1218	1218
500	1219	1214
501	1221	1211
502	1223	1208
503	1225	1205
504	1226	1202
505	1228	1199
506	1230	1196
507	1232	1193
508	1233	1190
509	1235	1186
510	1237	1184
511	1239	1181
512	1241	1178
513	1243	1175
514	1246	1173
515	1248	1171
516	1250	1168
517	1253	1166
518	1255	1163
519	1257	1160
520	1259	1158
521	1261	1155
522	1263	1152
523	1265	1149
524	1267	1146
525	1269	1143
526	1271	1140
527	1272	1137
528	1274	1134
529	1276	1132
530	1278	1129
531	1280	1126
532	1281	1123
533	1283	1119
534	1284	1116
535	1286	1113
536	1287	1110
537	1289	1107
538	1291	1104
539	1294	1102
540	1296	1099
541	1298	1097
542	1301	1094
543	1303	1092
544	1305	1090
545	1307	1087
546	1309	1084
547	1311	1081
548	1313	1079
549	1316	1077
550	1318	1074
551	1321	1072
552	1323	1069
553	1325	1067
554	1327	1064
555	1329	1061
556	1331	1058
557	1333	1056
558	1334	1053
559	1336	1050
560	1338	1047
561	1341	1045
562	1342	1042
563	1344	1039
564	1346	1036
565	1349	1034
566	1351	1032
567	1353	1029
568	1356	1027
569	1358	1024
570	1360	1022
571	1363	1019
572	1365	1017
573	1367	1015
574	1370	1012
575	1372	1010
576	1374	1007
577	1376	1004
578	1378	1002
579	1381	1000
580	1383	997
581	1385	995
582	1387	992
583	1389	989
584	1391	986
585	1393	984
586	1394	981
587	1396	978
588	1399	976
589	1401	973
590	1402	970
591	1405	968
592	1407	966
593	1410	963
594	1411	960
595	1413	957
596	1414	955
597	1416	952
598	1418	949
599	1420	947
600	1422	944
601	1424	942
602	1426	939
603	1428	936
604	1430	933
605	1432	931
606	1435	929
607	1437	926
608	1439	924
609	1442	921
610	1444	919
611	1445	916
612	1448	914
613	1451	912
614	1453	909
615	1455	907
616	1458	905
617	1459	902
618	1461	899
619	1463	896
620	1465	894
621	1467	891
622	1468	888
623	1470	886
624	1472	883
625	1474	880
626	1475	877
627	1478	875
628	1480	873
629	1482	870
630	1485	868
631	1487	865
632	1489	863
633	1491	861
634	1493	858
635	1496	856
636	1499	854
637	1501	852
638	1503	849
639	1505	846
640	1507	844
641	1509	841
642	1511	838
643	1512	836
644	1514	833
645	1515	830
646	1518	828
647	1521	826
648	1522	823
649	1524	821
650	1526	818
651	1529	816
652	1531	813
653	1533	811
654	1536	809
655	1538	806
656	1540	804
657	1541	801
658	1543	798
659	1545	795
660	1546	793
661	1549	791
662	1551	788
663	1554	786
664	1556	784
665	1558	781
666	1560	779
667	1562	776
668	1564	774
669	1565	771
670	1567	768
671	1570	766
672	1573	764
673	1575	762
674	1578	759
675	1580	757
676	1582	754
677	1583	752
678	1585	749
679	1586	746
680	1588	744
681	1591	741
682	1593	739
683	1595	737
684	1598	734
685	1600	732
686	1602	729
687	1604	727
688	1607	725
689	1609	723
690	1611	720
691	1612	717
692	1615	715
693	1617	713
694	1619	710
695	1622	708
696	1624	706
697	1627	704
698	1630	702
699	1632	699
700	1635	697
701	1637	695
702	1639	692
703	1642	690
704	1643	687
705	1646	685
706	1648	683
707	1651	681
708	1654	679
709	1657	676
710	1659	674
711	1661	672
712	1663	669
713	1665	666
714	1666	664
715	1668	661
716	1670	659
717	1672	656
718	1674	654
719	1676	651
720	1678	649
721	1681	647
722	1682	644
723	1684	642
724	1686	639
725	1688	637
726	1689	634
727	1691	632
728	1693	629
729	1694	626
730	1697	624
731	1698	621
732	1700	619
733	1702	616
734	1704	614
735	1706	611
736	1708	609
737	1710	607
738	1712	604
739	1714	602
740	1716	599
741	1717	597
742	1719	594
743	1721	592
744	1722	589
745	1724	587
746	1726	584
747	1728	582
748	1729	579
749	1731	577
750	1734	574
751	1737	572
752	1739	570
753	1741	568
754	1744	566
755	1746	563
756	1748	561
757	1751	559
758	1753	556
759	1754	554
760	1756	551
761	1759	549
762	1761	547
763	1763	544
764	1766	542
765	1768	540
766	1770	537
767	1772	535
768	1775	533
769	1777	530
770	1780	528
771	1782	526
772	1784	523
773	1785	521
774	1787	519
775	1789	516
776	1791	514
777	1794	511
778	1796	509
779	1798	507
780	1801	505
781	1803	502
782	1805	500
783	1807	497
784	1809	495
785	1811	493
786	1813	490
787	1816	488
788	1818	486
789	1819	483
790	1821	481
791	1824	479
792	1826	476
793	1828	474
794	1831	472
795	1833	469
796	1834	467
797	1837	465
798	1839	462
799	1842	460
800	1844	458
801	1846	455
802	1848	453
803	1850	451
804	1852	448
805	1854	446
806	1856	443
807	1858	441
808	1861	439
809	1862	436
810	1864	434
811	1866	432
812	1868	429
813	1871	427
814	1874	425
815	1876	423
816	1878	420
817	1880	418
818	1882	415
819	1884	413
820	1886	411
821	1888	409
822	1891	406
823	1893	404
824	1895	402
825	1896	399
826	1899	397
827	1901	395
828	1903	392
829	1905	390
830	1908	388
831	1910	385
832	1913	383
833	1915	381
834	1917	378
835	1919	376
836	1921	374
837	1924	371
838	1926	369
839	1928	367
840	1930	365
841	1933	362
842	1935	360
843	1938	358
844	1940	355
845	1943	353
846	1946	351
847	1948	349
848	1951	347
849	1953	344
850	1954	342
851	1956	339
852	1958	337
853	1959	335
854	1961	332
855	1962	330
856	1964	327
857	1967	325
858	1969	323
859	1971	320
860	1973	318
861	1974	316
862	1976	313
863	1978	311
864	1981	309
865	1982	306
866	1984	304
867	1986	302
868	1987	299
869	1989	297
870	1991	294
871	1993	292
872	1994	290
873	1996	287
874	1998	285
875	2001	283
876	2004	281
877	2007	278
878	2010	276
879	2012	274
880	2013	271
881	2015	269
882	2017	267
883	2018	264
884	2020	262
885	2021	260
886	2023	257
887	2024	255
888	2026	253
889	2028	250
890	2031	248
891	2033	246
892	2034	243
893	2036	241
894	2038	239
895	2040	236
896	2042	234
897	2043	232
898	2045	229
899	2047	227
900	2049	225
901	2051	222
902	2053	220
903	2055	218
904	2057	215
905	2059	213
906	2061	211
907	2062	208
908	2065	206
909	2067	204
910	2069	202
911	2071	199
912	2074	197
913	2075	195
914	2078	193
915	2081	190
916	2084	188
917	2086	186
918	2089	184
919	2091	181
920	2094	179
921	2096	177
922	2099	175
923	2101	172
924	2104	170
925	2106	168
926	2109	166
927	2111	163
928	2114	161
929	2117	159
930	2120	157
931	2122	154
932	2125	152
933	2127	150
934	2130	148
935	2133	145
936	2135	143
937	2137	141
938	2141	139
939	2143	136
940	2146	134
941	2149	132
942	2150	130
943	2152	127
944	2154	125
945	2156	123
946	2159	120
947	2161	118
948	2164	116
949	2168	114
950	2170	111
951	2172	109
952	2175	107
953	2177	105
954	2180	102
955	2185	100
956	2187	98
957	2190	96
958	2192	93
959	2194	91
960	2197	89
961	2199	86
962	2202	84
963	2205	82
964	2208	80
965	2210	77
966	2213	75
967	2215	73
968	2218	70
969	2220	68
970	2222	66
971	2224	64
972	2226	61
973	2229	59
974	2231	57
975	2233	54
976	2236	52
977	2238	50
978	2240	48
979	2242	45
980	2245	43
981	2247	41
982	2250	38
983	2252	36
984	2255	34
985	2257	32
986	2260	29
987	2262	27
988	2264	25
989	2266	22
990	2269	20
991	2272	18
992	2275	16
993	2278	13
994	2280	11
995	2282	9
996	2284	6
997	2286	4
998	2289	2
999	2291	0
1	2674	21
992	2678	18
993	2683	16
994	2686	13
995	2688	10
996	2691	8
997	2693	5
998	2695	2
999	2698	0
